employee_id,skill,proficiency_1_10,years_experience,last_used,wants_to_improve,learning_priority
E036,Rust,6,3,2021-10-03,No,High
E060,Python,4,5,2019-06-16,Yes,Medium
E008,Big Data,10,5,2022-04-05,No,Medium
E059,iOS Development,10,7,2020-03-30,No,High
E002,UI/UX Design,5,6,2019-04-28,No,High
E032,Android Development,4,5,2022-09-30,Yes,High
E098,Kubernetes,9,9,2024-09-01,Yes,High
E094,React,6,10,2022-09-24,Yes,Low
E091,Machine Learning,7,3,2021-05-08,No,Low
E024,C++,9,10,2018-09-02,Yes,Low
E039,Python,9,6,2024-03-05,Yes,Low
E049,Big Data,9,3,2023-04-20,No,High
E073,Machine Learning,8,6,2024-01-11,Yes,High
E049,Machine Learning,8,9,2019-08-04,Yes,Medium
E047,Go,7,9,2023-10-30,No,High
E096,Python,10,6,2021-04-21,No,Low
E078,Leadership,8,9,2020-12-08,No,High
E040,Big Data,5,8,2021-09-06,No,High
E082,Security Audit,8,3,2024-06-24,Yes,Low
E056,NLP,4,6,2019-12-21,Yes,Medium
E046,iOS Development,4,1,2019-04-03,No,Medium
E092,Go,4,1,2018-01-11,No,Medium
E051,Testing,8,2,2020-10-08,No,Low
E038,UI/UX Design,10,8,2024-01-27,Yes,Medium
E034,Machine Learning,7,9,2020-01-10,No,High
E062,Testing,8,9,2022-11-22,No,Low
E015,Data Analysis,10,2,2020-01-19,No,High
E080,Team Management,10,2,2024-01-16,No,High
E050,CI/CD,6,6,2023-03-23,Yes,Low
E084,JavaScript,8,2,2020-08-14,Yes,Low
E067,Python,10,5,2023-03-03,Yes,Low
E012,JavaScript,8,7,2024-05-04,Yes,High
E044,NLP,6,4,2018-08-13,Yes,Low
E070,Security Audit,7,5,2020-01-24,No,Medium
E003,JavaScript,7,8,2023-07-05,Yes,High
E055,UI/UX Design,6,7,2022-10-12,No,Low
E016,Testing,7,5,2023-06-16,Yes,High
E089,Agile Methodologies,7,6,2019-09-25,No,Medium
E005,Agile Methodologies,6,6,2018-01-05,Yes,Medium
E054,CI/CD,9,4,2023-05-11,No,Low
E039,Python,6,6,2019-05-23,No,Medium
E098,Machine Learning,5,3,2018-10-30,Yes,Low
E085,Docker,7,4,2018-08-21,Yes,Low
E028,Java,6,10,2019-02-04,Yes,Low
E047,Project Management,9,5,2022-08-19,Yes,High
E046,JavaScript,7,8,2020-01-29,No,Low
E029,iOS Development,6,2,2021-02-08,No,Low
E017,JavaScript,7,10,2022-02-20,No,Low
E048,Cloud Deployment,9,6,2021-05-01,Yes,Medium
E042,JavaScript,8,4,2024-09-13,Yes,Low
E094,Project Management,4,2,2020-07-03,No,Low
E072,C++,10,6,2022-09-20,No,High
E068,API Integration,9,10,2024-07-20,No,Low
E068,API Integration,4,8,2018-05-06,Yes,High
E014,Machine Learning,7,10,2021-09-11,Yes,Low
E015,Machine Learning,5,10,2019-03-12,No,Low
E089,CI/CD,4,9,2022-02-26,Yes,Low
E014,JavaScript,6,4,2024-03-16,No,High
E019,Testing,7,3,2020-06-04,Yes,Low
E050,Project Management,7,7,2018-01-19,Yes,High
E067,C++,9,10,2022-05-10,No,High
E072,Leadership,10,6,2023-10-02,No,Medium
E059,Project Management,5,9,2020-03-03,Yes,Medium
E082,Database Design,8,8,2023-05-24,Yes,Low
E081,Testing,7,6,2021-11-03,Yes,Low
E007,C++,5,7,2019-10-31,Yes,Medium
E011,Machine Learning,7,2,2018-01-09,No,High
E052,Deep Learning,4,5,2022-04-24,No,High
E014,React,6,6,2019-11-08,Yes,High
E048,Communication,8,8,2021-09-13,Yes,Low
E029,API Integration,4,8,2019-12-10,No,Low
E057,Android Development,10,5,2022-09-17,No,High
E098,C++,7,10,2021-11-19,Yes,Medium
E005,Machine Learning,8,3,2018-05-05,No,High
E080,Project Management,4,3,2022-08-17,Yes,Medium
E024,Testing,8,8,2022-02-26,Yes,Medium
E093,Android Development,4,5,2019-02-14,Yes,High
E086,UI/UX Design,10,2,2024-02-15,No,Low
E097,Agile Methodologies,10,7,2020-12-16,No,Medium
E037,iOS Development,9,4,2022-11-16,No,Low
E054,Java,7,7,2022-06-28,No,Low
E004,Communication,7,3,2021-01-03,Yes,High
E088,Project Management,4,8,2018-09-09,Yes,Low
E041,C++,9,7,2021-10-14,Yes,Medium
E093,Android Development,9,10,2024-02-28,Yes,Low
E023,CI/CD,9,5,2021-08-30,No,High
E070,Testing,8,10,2020-12-25,No,High
E018,Big Data,10,1,2024-04-03,Yes,High
E049,Project Management,5,4,2018-07-18,Yes,Medium
E066,Team Management,8,8,2018-05-19,No,Medium
E087,Database Design,5,7,2020-02-15,No,High
E094,API Integration,5,5,2019-06-24,No,Low
E035,Android Development,5,10,2019-08-02,No,High
E060,NLP,10,9,2023-09-19,Yes,Medium
E005,Cloud Deployment,10,5,2024-02-13,Yes,High
E007,Testing,8,3,2024-06-17,No,High
E062,Project Management,6,5,2019-11-30,Yes,High
E001,Testing,7,1,2024-01-05,No,Low
E089,Docker,8,5,2023-12-20,Yes,Medium
E060,Node.js,6,5,2021-09-11,Yes,Medium
E073,Go,6,5,2021-08-27,Yes,High
E094,Android Development,6,5,2022-12-31,No,High
