employee_id,week_start_date,total_hours_worked,overtime_hours,projects_worked_on,tasks_completed
E061,2024-07-22,36,0,P014,2
E030,2024-06-24,49,3,P007,1
E030,2024-01-29,47,0,P020,4
E051,2024-01-15,33,0,P019,2
E061,2024-03-04,30,2,P010,3
E079,2024-05-13,47,7,"P002,P011,P003",1
E078,2024-01-01,26,2,P010,3
E097,2024-05-27,34,1,"P017,P018",4
E075,2024-05-27,31,0,"P005,P009,P001",0
E054,2024-04-15,25,0,"P016,P018,P001",5
E064,2024-05-27,36,0,"P012,P014",0
E065,2024-05-27,28,0,"P013,P006",3
E014,2024-03-18,39,3,"P009,P005,P006",5
E012,2024-01-29,41,1,"P011,P002,P012",4
E063,2024-06-24,35,1,"P020,P016,P012",2
E009,2024-07-29,31,0,P001,3
E016,2024-06-17,38,0,P009,1
E018,2024-05-13,39,3,"P011,P018,P020",0
E016,2024-01-01,48,5,"P008,P002,P012",4
E079,2024-06-03,49,9,"P004,P020",3
E061,2024-01-29,36,0,"P016,P008,P018",2
E040,2024-04-15,37,4,P012,1
E014,2024-04-29,40,5,P005,2
E059,2024-02-05,33,0,P001,4
E009,2024-03-04,37,0,P013,3
E005,2024-06-17,44,4,"P012,P020,P002",4
E062,2024-01-15,50,2,P015,5
E008,2024-05-13,50,10,"P010,P013",4
E048,2024-02-12,34,0,"P004,P005",0
E009,2024-06-10,40,0,P010,5
E086,2024-06-24,39,0,P015,0
E051,2024-07-29,40,0,"P009,P006,P010",5
E014,2024-01-29,39,0,"P011,P001",3
E023,2024-01-08,48,8,"P019,P017",5
E084,2024-03-11,47,0,P011,2
E017,2024-06-24,39,4,"P001,P003,P014",3
E079,2024-03-25,50,10,"P008,P012,P009",0
E041,2024-03-11,50,10,"P014,P001",5
E033,2024-05-20,28,2,P006,0
E090,2024-07-08,50,3,"P013,P018",4
E021,2024-06-24,42,2,"P011,P018",4
E071,2024-06-10,50,10,"P015,P017",0
E043,2024-06-24,41,1,"P010,P002,P013",4
E036,2024-01-22,27,2,"P012,P006",3
E012,2024-01-29,35,1,"P014,P006,P016",1
E097,2024-04-29,33,1,"P012,P004",4
E011,2024-04-15,40,0,P002,1
E024,2024-06-17,32,4,"P002,P015,P020",1
E038,2024-02-12,30,0,"P017,P010",0
E077,2024-03-11,38,4,"P002,P019,P009",1
E015,2024-06-24,39,0,"P018,P020",0
E074,2024-01-22,25,1,"P005,P013",0
E025,2024-03-04,30,3,"P020,P011,P003",5
E053,2024-02-12,25,2,"P013,P009,P010",3
E030,2024-03-25,36,0,"P014,P018",3
E039,2024-05-13,36,3,P003,3
E031,2024-06-10,35,4,P016,4
E084,2024-03-18,42,2,P005,5
E045,2024-06-24,31,0,P019,0
E085,2024-01-22,32,0,P018,0
E082,2024-01-08,42,2,"P002,P004,P001",1
